dataset,alpha,projector_width,seed,final_erank_clean_h,final_erank_clean_z,final_erank_aug_z_LEGACY,early_erank_clean_h_5ep,early_erank_aug_z_5ep_LEGACY,linear_probe_test_acc,finetune_test_acc
eigenworms,0.0,64,0,10.436494827270508,20.576730728149414,18.890759468078613,9.343158721923828,9.725854396820068,0.4198473282442748,0.7404580152671756
eigenworms,0.0,64,1,11.726943016052246,19.927480697631836,18.42565155029297,10.014277458190918,8.671313762664795,0.4122137404580153,0.7862595419847328
eigenworms,0.0,64,2,12.813570022583008,19.677412033081055,19.74267578125,10.131187438964844,9.22856330871582,0.4122137404580153,0.7862595419847328
eigenworms,0.0,64,3,13.354305267333984,21.260936737060547,19.937894821166992,10.960046768188477,9.714830875396729,0.4580152671755725,0.7404580152671756
eigenworms,0.0,64,4,11.083795547485352,20.2750301361084,19.45365619659424,9.056468963623047,10.15693473815918,0.4198473282442748,0.7480916030534351
eigenworms,0.25,64,0,11.859211921691895,18.159351348876953,18.278693199157715,9.390449523925781,9.347016334533691,0.4122137404580153,0.7938931297709924
eigenworms,0.25,64,1,10.864119529724121,17.66766357421875,16.69711399078369,9.178606033325195,8.078341960906982,0.40458015267175573,0.7175572519083969
eigenworms,0.25,64,2,13.203765869140625,18.72850227355957,17.554940223693848,9.864847183227539,8.951817512512207,0.42748091603053434,0.7862595419847328
eigenworms,0.25,64,3,12.655889511108398,19.413433074951172,17.87367343902588,9.900019645690918,9.088284015655518,0.40458015267175573,0.7709923664122137
eigenworms,0.25,64,4,11.91858196258545,18.006885528564453,17.791998863220215,8.939778327941895,9.315542697906494,0.4122137404580153,0.7709923664122137
eigenworms,0.5,64,0,9.91834831237793,14.097615242004395,15.39824914932251,9.30573844909668,9.136675357818604,0.3282442748091603,0.7938931297709924
eigenworms,0.5,64,1,10.820454597473145,15.651689529418945,15.951191425323486,8.902165412902832,8.483243942260742,0.4198473282442748,0.7480916030534351
eigenworms,0.5,64,2,11.502073287963867,16.534893035888672,16.10839033126831,9.973546981811523,9.120833396911621,0.4198473282442748,0.7404580152671756
