dataset,alpha,projector_width,seed,final_erank_clean_h,final_erank_clean_z,final_erank_aug_z_LEGACY,early_erank_clean_h_5ep,early_erank_aug_z_5ep_LEGACY,linear_probe_test_acc,finetune_test_acc
spokenarabicdigits,0.0,64,0,24.173189163208008,55.534767150878906,41.44839525685727,17.672285079956055,27.80902555150893,0.9113636363636364,0.9890909090909091
spokenarabicdigits,0.0,64,1,23.709592819213867,56.68550491333008,41.04548063555968,17.490949630737305,28.01267414648556,0.9181818181818182,0.990909090909091
spokenarabicdigits,0.0,64,2,24.62433433532715,55.88310241699219,41.07185137850567,17.19615936279297,28.018786735905028,0.9277272727272727,0.9877272727272727
spokenarabicdigits,0.0,64,3,24.128276824951172,56.31046676635742,41.27154818784843,18.75400733947754,28.52127325187609,0.9104545454545454,0.985909090909091
spokenarabicdigits,0.0,64,4,24.375898361206055,55.646549224853516,41.51121809876081,19.49713134765625,28.126855776147934,0.93,0.9922727272727273
spokenarabicdigits,0.25,64,0,18.864656448364258,43.92797088623047,37.39808599231313,14.612260818481445,23.95195462865737,0.9595454545454546,0.9945454545454545
spokenarabicdigits,0.25,64,1,17.50462532043457,45.756378173828125,37.43884992136539,12.933892250061035,23.719260613895155,0.9618181818181818,0.9927272727272727
spokenarabicdigits,0.25,64,2,18.79779624938965,47.970115661621094,38.3146428228582,13.231988906860352,24.35002395481739,0.9522727272727273,0.99
spokenarabicdigits,0.25,64,3,18.38916778564453,45.43568420410156,37.51573825576931,13.933575630187988,23.92206416083771,0.9604545454545454,0.9913636363636363
spokenarabicdigits,0.25,64,4,18.91396713256836,44.62578582763672,37.57251572840422,14.351632118225098,23.595007739020783,0.9472727272727273,0.9922727272727273
spokenarabicdigits,0.5,64,0,18.81273078918457,37.476139068603516,32.65283901251635,13.230531692504883,20.796588360684588,0.9477272727272728,0.9922727272727273
spokenarabicdigits,0.5,64,1,17.88261604309082,38.771034240722656,33.213929667056185,11.69456958770752,20.9248187241045,0.9472727272727273,0.9931818181818182
spokenarabicdigits,0.5,64,2,17.659805297851562,38.25676727294922,32.84928444056835,11.230496406555176,20.65803655605872,0.9468181818181818,0.985909090909091
spokenarabicdigits,0.5,64,3,18.222368240356445,37.8931884765625,32.98531534139392,13.10593318939209,21.28338771190458,0.9490909090909091,0.9913636363636363
spokenarabicdigits,0.5,64,4,18.076663970947266,36.88914489746094,32.33823418848723,12.043943405151367,20.919095437503554,0.955,0.990909090909091
spokenarabicdigits,0.75,64,0,16.81244659423828,30.72493553161621,27.617192925758733,11.292325019836426,17.883723657108046,0.9386363636363636,0.9931818181818182
spokenarabicdigits,0.75,64,1,17.442113876342773,30.676984786987305,27.542310307326826,11.197370529174805,17.545094425238453,0.9390909090909091,0.9895454545454545
spokenarabicdigits,0.75,64,2,17.007923126220703,30.72068977355957,27.788633994685792,10.254717826843262,17.985388153965033,0.9536363636363636,0.9931818181818182
spokenarabicdigits,0.75,64,3,17.83580780029297,29.977519989013672,27.341732210325965,11.449410438537598,17.87920598150457,0.9463636363636364,0.9918181818181818
spokenarabicdigits,0.75,64,4,17.804262161254883,30.48431968688965,27.939953405880235,11.052151679992676,17.204613194882292,0.9568181818181818,0.9895454545454545
spokenarabicdigits,1.0,64,0,16.885154724121094,26.328889846801758,23.983217202343987,10.477386474609375,15.387873973661256,0.9418181818181818,0.9918181818181818
